Type,Source/Category,Amount,Date
Expense,Rent,20,2022-05-13
Expense,Bills,0,2020-09-06
Expense,Bills,0,2020-04-12
Expense,Entertainment,60,2018-10-16
Expense,Rent,20,2023-07-15
Expense,Groceries,20,2020-09-01
Expense,Entertainment,80,2021-04-14
Expense,Bills,100,2021-08-10
Expense,Bills,20,2021-05-05
Expense,Rent,50,2022-09-18
Expense,Rent,20,2020-03-15
Expense,Rent,0,2019-09-18
Expense,Entertainment,50,2019-03-28
Expense,Entertainment,50,2021-04-22
Expense,Rent,0,2022-09-28
Expense,Entertainment,100,2018-12-09
Expense,Groceries,150,2020-04-16
Expense,Bills,100,2021-07-29
Expense,Groceries,100,2023-04-26
Expense,Bills,80,2020-12-10
Expense,Groceries,100,2023-11-22
Expense,Rent,20,2018-07-31
Expense,Entertainment,20,2018-05-01
Expense,Groceries,0,2021-11-02
Expense,Bills,100,2020-11-30
Expense,Entertainment,50,2018-02-13
Expense,Groceries,100,2018-09-11
Expense,Groceries,80,2018-01-22
Expense,Entertainment,50,2018-11-24
Expense,Bills,100,2022-06-07
Expense,Entertainment,0,2019-07-21
Expense,Rent,50,2023-06-23
Expense,Entertainment,50,2019-11-27
Expense,Rent,20,2020-06-08
Expense,Bills,150,2022-07-01
Expense,Bills,0,2018-09-06
Expense,Entertainment,200,2018-08-13
Expense,Rent,150,2023-07-13
Expense,Entertainment,20,2023-09-19
Expense,Entertainment,50,2020-03-22
Expense,Bills,60,2023-02-12
Expense,Entertainment,60,2018-03-03
Expense,Rent,20,2021-05-02
Expense,Bills,200,2020-10-11
Expense,Groceries,20,2021-11-26
Expense,Groceries,250,2020-08-11
Expense,Rent,20,2018-01-12
Expense,Groceries,0,2022-07-30
Expense,Groceries,250,2019-11-01
Expense,Entertainment,0,2019-09-26
Expense,Groceries,20,2023-02-01
Expense,Groceries,50,2021-01-14
Expense,Rent,50,2020-09-19
Expense,Groceries,50,2019-12-17
Expense,Bills,50,2023-08-08
Expense,Bills,40,2018-12-31
Expense,Bills,80,2018-03-31
Expense,Groceries,20,2023-06-25
Expense,Rent,100,2022-11-12
Expense,Bills,20,2020-07-02
Expense,Entertainment,20,2020-11-14
Expense,Entertainment,20,2021-03-07
Expense,Rent,20,2020-12-06
Expense,Rent,80,2019-05-04
Expense,Groceries,20,2021-11-01
Expense,Rent,20,2018-05-18
Expense,Rent,50,2020-11-09
Expense,Bills,0,2023-08-30
Expense,Bills,40,2023-12-10
Expense,Rent,20,2022-12-10
Expense,Rent,0,2022-03-01
Expense,Groceries,40,2018-06-04
Expense,Entertainment,100,2018-06-27
Expense,Groceries,200,2022-11-28
Expense,Bills,20,2023-01-24
Expense,Rent,100,2021-01-05
Expense,Rent,250,2023-10-06
Expense,Bills,0,2020-01-21
Expense,Rent,50,2020-04-22
Expense,Entertainment,20,2022-11-05
Expense,Bills,50,2021-07-31
Expense,Groceries,40,2023-06-20
Expense,Rent,150,2021-10-28
Expense,Rent,100,2021-08-27
Expense,Bills,60,2023-01-26
Expense,Groceries,20,2020-12-26
Expense,Entertainment,20,2021-11-15
Expense,Entertainment,60,2020-05-10
Expense,Rent,50,2022-02-23
Expense,Rent,0,2018-04-06
Expense,Bills,100,2023-04-19
Expense,Bills,40,2020-04-20
Expense,Bills,50,2020-04-08
Expense,Groceries,20,2021-04-02
Expense,Bills,60,2021-03-06
Expense,Groceries,20,2021-08-18
Expense,Rent,200,2021-01-14
Expense,Groceries,20,2023-10-18
Expense,Rent,150,2022-04-25
Expense,Groceries,200,2023-12-22
Expense,Entertainment,20,2021-05-08
Expense,Bills,50,2021-09-08
Expense,Groceries,60,2022-07-25
Expense,Groceries,40,2019-08-17
Expense,Entertainment,100,2022-10-04
Expense,Groceries,100,2022-04-04
Expense,Entertainment,40,2019-07-29
Expense,Rent,20,2023-03-16
Expense,Rent,40,2018-09-06
Expense,Bills,100,2019-03-06
Expense,Rent,100,2018-09-03
Expense,Entertainment,20,2022-12-12
Expense,Entertainment,20,2021-04-08
Expense,Groceries,150,2019-08-12
Expense,Entertainment,80,2019-02-28
Expense,Entertainment,20,2020-10-07
Expense,Groceries,50,2021-06-17
Expense,Groceries,60,2023-11-11
Expense,Rent,50,2021-05-11
Expense,Groceries,100,2021-03-14
Expense,Entertainment,50,2023-08-05
Expense,Rent,20,2020-05-16
Expense,Bills,200,2023-01-03
Expense,Bills,200,2023-03-04
Expense,Rent,20,2023-08-25
Expense,Entertainment,250,2020-12-03
Expense,Groceries,200,2022-11-02
Expense,Rent,60,2019-04-14
Expense,Entertainment,200,2020-12-10
Expense,Entertainment,0,2019-01-07
Expense,Rent,50,2018-01-14
Expense,Entertainment,50,2021-04-09
Expense,Entertainment,50,2019-10-31
Expense,Rent,100,2019-03-26
Expense,Entertainment,50,2021-11-27
Expense,Rent,20,2023-02-09
Expense,Bills,80,2018-08-26
Expense,Entertainment,20,2020-10-11
Expense,Entertainment,50,2023-08-17
Expense,Entertainment,200,2023-09-24
Expense,Entertainment,20,2021-11-01
Expense,Bills,0,2020-08-22
Expense,Rent,40,2023-12-04
Expense,Groceries,20,2021-02-02
Expense,Entertainment,50,2020-08-30
Expense,Groceries,100,2019-06-08
Expense,Entertainment,250,2019-11-10
Expense,Rent,50,2018-01-27
Expense,Rent,0,2022-12-13
Expense,Rent,100,2021-03-30
Expense,Groceries,80,2022-04-26
Expense,Rent,100,2019-07-14
Expense,Bills,100,2022-07-10
Expense,Bills,80,2020-06-16
Expense,Rent,50,2023-10-31
Expense,Entertainment,60,2018-09-13
Expense,Rent,150,2019-06-11
Expense,Groceries,40,2019-02-04
Expense,Rent,20,2020-02-01
Expense,Rent,250,2018-01-16
Expense,Entertainment,40,2020-05-05
Expense,Groceries,20,2020-10-26
Expense,Groceries,0,2018-10-28
Expense,Groceries,0,2019-10-21
Expense,Groceries,50,2018-10-04
Expense,Rent,20,2023-12-12
Expense,Entertainment,20,2023-08-04
Expense,Entertainment,80,2022-02-24
Expense,Entertainment,0,2022-06-22
Expense,Bills,0,2019-03-26
Expense,Bills,20,2018-07-16
Expense,Entertainment,100,2022-01-30
Expense,Entertainment,80,2021-07-13
Expense,Groceries,100,2020-04-20
Expense,Entertainment,80,2022-03-04
Expense,Entertainment,20,2021-09-01
Expense,Rent,100,2019-07-25
Expense,Rent,100,2023-11-03
Expense,Groceries,40,2018-08-31
Expense,Entertainment,20,2020-02-10
Expense,Bills,100,2018-06-13
Expense,Entertainment,0,2021-04-21
Expense,Groceries,150,2019-12-26
Expense,Rent,0,2018-01-09
Expense,Entertainment,150,2019-02-25
Expense,Entertainment,20,2022-07-01
Expense,Bills,20,2021-04-26
Expense,Bills,200,2023-01-28
Expense,Bills,40,2023-02-27
Expense,Bills,20,2022-11-25
Expense,Bills,50,2022-02-16
Expense,Groceries,100,2022-02-18
Expense,Rent,200,2018-08-12
Expense,Entertainment,50,2023-05-10
Expense,Groceries,100,2020-10-04
Expense,Entertainment,20,2019-09-25
Expense,Rent,100,2018-08-22
Expense,Rent,100,2021-03-16
Expense,Groceries,40,2023-12-21
Expense,Bills,200,2019-06-30
Expense,Rent,40,2021-06-11
Expense,Rent,20,2020-03-24
Expense,Groceries,0,2019-10-11
Expense,Groceries,40,2019-05-04
Expense,Bills,200,2021-08-23
Expense,Groceries,50,2023-05-26
